Date,diff
2015-05,-6676
2015-05,-12307
2015-06,-5117
2015-06,-3373
2015-06,23639
2015-06,-1955
2015-06,-1529
2015-06,-4951
2015-06,4971
2015-06,2572
2015-06,1869
2015-06,4064
2015-06,-2303
2015-06,-2282
2015-06,-5029
2015-06,-1943
2015-06,-3296
2015-06,7299
2015-06,6177
2015-06,-2683
2015-06,2024
2015-06,-14413
2015-06,2549
2015-06,12272
2015-06,-5576
2015-06,9302
2015-06,-1866
2015-06,-1019
2015-06,-24328
2015-06,5317
2015-06,18197
2015-06,54
2015-07,-820
2015-07,-2057
2015-07,-9141
2015-07,-5474
2015-07,4361
2015-07,9466
2015-07,1756
2015-07,-2030
2015-07,-3166
2015-07,6953
2015-07,-7067
2015-07,-767
2015-07,7733
2015-07,-2915
2015-07,-816
2015-07,7447
2015-07,-2520
2015-07,-11163
2015-07,-287
2015-07,6628
2015-07,3597
2015-07,4045
2015-07,-283
2015-07,-2118
2015-07,-8743
2015-07,-1133
2015-07,8277
2015-07,1719
2015-07,-1054
2015-07,-8389
2015-07,7482
2015-08,-3272
2015-08,-3606
2015-08,7430
2015-08,1760
2015-08,477
2015-08,1306
2015-08,-1488
2015-08,-2101
2015-08,-6212
2015-08,7064
2015-08,-15026
2015-08,18453
2015-08,-971
2015-08,-2271
2015-08,-2126
2015-08,-8440
2015-08,7109
2015-08,2467
2015-08,808
2015-08,-1446
2015-08,-1242
2015-08,-3764
2015-08,-1210
2015-08,5617
2015-08,2376
2015-08,1321
2015-08,428
2015-08,-1383
2015-08,-7365
2015-08,-1472
2015-08,7462
2015-09,3026
2015-09,-65
2015-09,-542
2015-09,-2890
2015-09,-5903
2015-09,-794
2015-09,405
2015-09,9064
2015-09,1184
2015-09,-21505
2015-09,25183
2015-09,-13924
2015-09,1026
2015-09,10059
2015-09,4035
2015-09,2378
2015-09,-505
2015-09,-329
2015-09,-7293
2015-09,-2554
2015-09,7079
2015-09,1486
2015-09,-489
2015-09,4531
2015-09,-1339
2015-09,-8808
2015-09,-4281
2015-09,9731
2015-09,719
2015-09,-9278
2015-10,-4731
2015-10,-25275
2015-10,7120
2015-10,13650
2015-10,14367
2015-10,5139
2015-10,421
2015-10,38
2015-10,-12896
2015-10,2065
2015-10,-381
2015-10,6617
2015-10,3463
2015-10,953
2015-10,-1217
2015-10,-2297
2015-10,-14675
2015-10,-7833
2015-10,12592
2015-10,8807
2015-10,3744
2015-10,483
2015-10,-4923
2015-10,-12968
2015-10,-2424
2015-10,12877
2015-10,2387
2015-10,-23817
2015-10,24623
2015-10,-838
2015-10,-12762
2015-11,-1137
2015-11,13912
2015-11,4792
2015-11,161
2015-11,-6481
2015-11,4156
2015-11,-11576
2015-11,-3268
2015-11,9944
2015-11,-20677
2015-11,16120
2015-11,-386
2015-11,1651
2015-11,-13670
2015-11,691
2015-11,14925
2015-11,-1977
2015-11,2547
2015-11,-19596
2015-11,16315
2015-11,-10167
2015-11,-4694
2015-11,6792
2015-11,2082
2015-11,-1923
2015-11,-17004
2015-11,9538
2015-11,-6997
2015-11,2621
2015-11,11768
2015-12,-11822
2015-12,5383
2015-12,10135
2015-12,820
2015-12,-8382
2015-12,-1413
2015-12,9197
2015-12,1475
2015-12,-309
2015-12,3794
